
================================================================
  HSLM Training — Hybrid Symbolic Language Model
  ~1.95M ternary parameters, ~390KB
  Autograd + STE quantization + AdamW
================================================================
[1/4] Initializing model...
       Params: 1952262, Memory: 1872KB
[2/4] Loading training data...
       File: data/tinystories/real_tinystories.txt
       Loaded 100000 stories, 5462458 tokens
[3/4] Initializing trainer...
       LR: 0.000300 → 0.0000010 (cosine), Steps: 100000, Batch: 128×1=128, Ctx: 27, Warmup: 2000, Opt: LAMB
       Label smoothing: 0.10
       WD: 0.100 (cosine, disable at 50%)
       Consciousness: adaptive threshold 0.15 -> phi^-1 (warmup 10K steps)
       Full STE backprop: 1952991 trainable params (100%%)
       [RESUME] Loaded checkpoint + optimizer state: data/checkpoints_v13_lamb128/hslm_step_60000.bin (step 60000)
       Parallel: 6 workers (SIMD + threading)
[4/4] Training...

Step     | Loss     | AvgL10   | PPL      | LR       | C-Ratio  | Tok/s
   66400 |   5.8600 |   5.8010 |   350.71 | 0.000101 |   0.0000 |  13928
   66500 |   5.8314 |   5.8690 |   340.83 | 0.000101 |   0.0000 |  13960
   66600 |   5.9452 |   5.8257 |   381.90 | 0.000100 |   0.0000 |  13989
   66700 |   5.8623 |   5.8021 |   351.52 | 0.000100 |   0.0000 |  14007
   66800 |   5.8078 |   5.8169 |   332.88 | 0.000100 |   0.0000 |  14019
   66900 |   5.8965 |   5.8208 |   363.76 | 0.000099 |   0.0000 |  14029
   67000 |   5.8643 |   5.8044 |   352.24 | 0.000099 |   0.0000 |  14052
   67100 |   5.7899 |   5.8104 |   326.98 | 0.000098 |   0.0000 |  14069
   67200 |   5.9632 |   5.8282 |   388.87 | 0.000098 |   0.0000 |  14091
   67300 |   5.8410 |   5.8121 |   344.11 | 0.000098 |   0.0000 |  14101
   67400 |   5.7630 |   5.8589 |   318.29 | 0.000097 |   0.0000 |  14119
   67500 |   5.7969 |   5.7918 |   329.26 | 0.000097 |   0.0000 |  14134
   67600 |   5.8317 |   5.7619 |   340.93 | 0.000097 |   0.0000 |  14125
   67700 |   5.8423 |   5.8202 |   344.58 | 0.000096 |   0.0000 |  14094
   67800 |   5.7775 |   5.7761 |   322.95 | 0.000096 |   0.0000 |  14078
   67900 |   5.7482 |   5.7779 |   313.62 | 0.000095 |   0.0000 |  14075
   68000 |   5.9746 |   5.8008 |   393.32 | 0.000095 |   0.0000 |  14089
   68100 |   5.8565 |   5.8192 |   349.50 | 0.000095 |   0.0000 |  14104
   68200 |   5.5152 |   5.8132 |   248.43 | 0.000094 |   0.0000 |  14117
   68300 |   5.7230 |   5.8155 |   305.81 | 0.000094 |   0.0000 |  14130
   68400 |   5.8237 |   5.7826 |   338.24 | 0.000094 |   0.0000 |  14142
   68500 |   5.7697 |   5.7641 |   320.44 | 0.000093 |   0.0000 |  14150
   68600 |   5.8611 |   5.8296 |   351.12 | 0.000093 |   0.0000 |  14154
   68700 |   5.8954 |   5.8010 |   363.37 | 0.000092 |   0.0000 |  14147
   68800 |   5.8150 |   5.8642 |   335.29 | 0.000092 |   0.0000 |  14143
   68900 |   5.8713 |   5.8094 |   354.70 | 0.000092 |   0.0000 |  14145
   69000 |   5.9211 |   5.8339 |   372.82 | 0.000091 |   0.0000 |  14153
   69100 |   5.7091 |   5.7634 |   301.61 | 0.000091 |   0.0000 |  14164
   69200 |   5.7947 |   5.8080 |   328.55 | 0.000091 |   0.0000 |  14165
   69300 |   5.9559 |   5.8257 |   386.04 | 0.000090 |   0.0000 |  14161
   69400 |   5.9231 |   5.7910 |   373.57 | 0.000090 |   0.0000 |  14162
   69500 |   5.7923 |   5.7613 |   327.78 | 0.000090 |   0.0000 |  14171
   69600 |   5.8561 |   5.7982 |   349.37 | 0.000089 |   0.0000 |  14177
   69700 |   5.8316 |   5.7563 |   340.91 | 0.000089 |   0.0000 |  14172
   69800 |   5.8069 |   5.7951 |   332.58 | 0.000088 |   0.0000 |  14173
   69900 |   5.6174 |   5.7997 |   275.17 | 0.000088 |   0.0000 |  14182
   70000 |   5.8111 |   5.7663 |   333.98 | 0.000088 |   0.0000 |  14193
[CKPT] Saved (v2 + optimizer): data/checkpoints_v14_verify/hslm_step_70000.bin
   70100 |   5.8898 |   5.8214 |   361.33 | 0.000087 |   0.0000 |  14196
   70200 |   5.6053 |   5.7704 |   271.85 | 0.000087 |   0.0000 |  14202
   70300 |   6.0272 |   5.7911 |   414.56 | 0.000087 |   0.0000 |  14218
   70400 |   5.9078 |   5.7846 |   367.88 | 0.000086 |   0.0000 |  14233
   70500 |   5.8194 |   5.7984 |   336.76 | 0.000086 |   0.0000 |  14249
   70600 |   5.6587 |   5.7625 |   286.79 | 0.000086 |   0.0000 |  14259
   70700 |   5.7131 |   5.7990 |   302.80 | 0.000085 |   0.0000 |  14258
   70800 |   5.8684 |   5.7743 |   353.70 | 0.000085 |   0.0000 |  14261
   70900 |   5.8095 |   5.7957 |   333.45 | 0.000085 |   0.0000 |  14266
   71000 |   5.9118 |   5.8349 |   369.37 | 0.000084 |   0.0000 |  14276
   71100 |   5.6906 |   5.8205 |   296.08 | 0.000084 |   0.0000 |  14291
   71200 |   5.6038 |   5.7804 |   271.47 | 0.000084 |   0.0000 |  14302
   71300 |   5.8764 |   5.8218 |   356.52 | 0.000083 |   0.0000 |  14311
   71400 |   5.8164 |   5.8140 |   335.75 | 0.000083 |   0.0000 |  14315
   71500 |   5.7804 |   5.7615 |   323.90 | 0.000083 |   0.0000 |  14316
   71600 |   5.7573 |   5.7846 |   316.51 | 0.000082 |   0.0000 |  14319
   71700 |   5.7103 |   5.7704 |   301.95 | 0.000082 |   0.0000 |  14326
   71800 |   5.8882 |   5.7787 |   360.76 | 0.000082 |   0.0000 |  14337
   71900 |   5.8363 |   5.8468 |   342.50 | 0.000081 |   0.0000 |  14339
   72000 |   5.8004 |   5.7437 |   330.44 | 0.000081 |   0.0000 |  14342
   72100 |   5.7468 |   5.8052 |   313.19 | 0.000080 |   0.0000 |  14347
   72200 |   5.8863 |   5.7497 |   360.06 | 0.000080 |   0.0000 |  14354
   72300 |   5.7208 |   5.7936 |   305.14 | 0.000080 |   0.0000 |  14346
   72400 |   5.9454 |   5.7464 |   381.97 | 0.000079 |   0.0000 |  14332
   72500 |   5.7157 |   5.7056 |   303.59 | 0.000079 |   0.0000 |  14328
   72600 |   5.8770 |   5.8272 |   356.74 | 0.000079 |   0.0000 |  14338
   72700 |   5.6656 |   5.7388 |   288.77 | 0.000078 |   0.0000 |  14344
   72800 |   5.7266 |   5.7785 |   306.93 | 0.000078 |   0.0000 |  14341
   72900 |   5.8610 |   5.8083 |   351.07 | 0.000078 |   0.0000 |  14345
   73000 |   5.7436 |   5.8150 |   312.19 | 0.000077 |   0.0000 |  14347
   73100 |   5.6287 |   5.7458 |   278.30 | 0.000077 |   0.0000 |  14340
